a2029,a3039,a4049,a5059,a6069,a70
27384,51174,76247,93264,204181,195493
1282,3050,4750,6509,8947,6216
274,446,804,756,549,208
71231,117424,201127,161533,111944,61953
403322,503589,745456,639048,358643,140050
7255,8708,14910,11466,3241,629
156891,158590,145727,84962,21500,4543
93010,116192,200847,176532,79807,19905
672793,754058,1102937,1042044,694972,254289
131094,152341,194354,202567,69377,18859
55751,72503,99807,100814,93896,67605
117992,171621,220287,152497,77445,28677
329219,250734,392468,337603,304471,171576
199594,208254,238684,224080,176844,114864
255105,286374,411868,425470,209090,45838
834858,1059177,1447141,1338793,827114,235495
27295,31525,48296,48820,21542,2520
164735,221846,333545,335291,281868,169350
107099,123669,169256,144373,59409,8914
121770,108844,139600,119838,119302,144674
2093360,2402156,2700823,2518767,4145353,6908919
